user_id,item_id,behavior_type,time
4913,259552174,1,2025-11-18 00:00:00
4913,361332099,1,2025-11-18 00:00:00
4913,315599770,1,2025-11-18 00:00:00
4913,327747294,1,2025-11-18 00:00:00
4913,208244238,1,2025-11-18 00:00:00
4913,41212314,1,2025-11-18 00:00:00
4913,54462924,1,2025-11-18 00:00:00
4913,128906065,1,2025-11-18 00:00:00
4913,340039136,1,2025-11-18 00:00:00
4913,365084638,1,2025-11-18 14:00:00
4913,301454943,1,2025-11-18 14:00:00
4913,388474020,1,2025-11-18 17:00:00
4913,6848743,1,2025-11-18 21:00:00
4913,64574578,1,2025-11-18 21:00:00
4913,6848743,2,2025-11-18 21:00:00
4913,351182034,1,2025-11-18 21:00:00
4913,75719323,1,2025-11-18 21:00:00
4913,105092581,1,2025-11-18 21:00:00
4913,97625185,1,2025-11-19 23:00:00
4913,364175671,1,2025-11-19 23:00:00
4913,372406579,1,2025-11-19 23:00:00
4913,15531854,1,2025-11-19 23:00:00
4913,241035239,1,2025-11-19 23:00:00
4913,355685247,1,2025-11-19 23:00:00
4913,357729370,1,2025-11-19 23:00:00
4913,321970751,1,2025-11-19 23:00:00
4913,96114024,2,2025-11-19 23:00:00
4913,372064034,1,2025-11-19 23:00:00
4913,96114024,1,2025-11-19 23:00:00
4913,47302453,1,2025-11-19 23:00:00
4913,58754745,1,2025-11-19 23:00:00
4913,237542823,1,2025-11-21 08:00:00
4913,166745841,1,2025-11-21 08:00:00
4913,144275201,1,2025-11-21 08:00:00
4913,157229885,1,2025-11-21 08:00:00
4913,394448742,1,2025-11-21 15:00:00
4913,189967962,1,2025-11-21 15:00:00
4913,285949544,1,2025-11-21 15:00:00
4913,169864250,1,2025-11-21 15:00:00
4913,111764478,1,2025-11-21 15:00:00
4913,354622715,1,2025-11-21 15:00:00
4913,5862547,1,2025-11-21 15:00:00
4913,293658969,1,2025-11-21 15:00:00
4913,349640607,1,2025-11-21 16:00:00
4913,260541927,1,2025-11-21 16:00:00
4913,198518594,1,2025-11-21 16:00:00
4913,66149052,1,2025-11-21 16:00:00
4913,240399877,1,2025-11-21 16:00:00
4913,398096544,1,2025-11-21 16:00:00
4913,66149052,2,2025-11-21 16:00:00
4913,131365615,1,2025-11-21 16:00:00
4913,354622715,1,2025-11-21 16:00:00
4913,385218943,1,2025-11-21 16:00:00
4913,266236764,1,2025-11-21 16:00:00
4913,155220987,1,2025-11-21 16:00:00
4913,248468826,1,2025-11-21 16:00:00
4913,15940585,1,2025-11-21 16:00:00
4913,96114024,1,2025-11-21 16:00:00
4913,284236804,1,2025-11-21 16:00:00
4913,66149052,1,2025-11-21 21:00:00
4913,210070917,1,2025-11-21 21:00:00
4913,176138593,1,2025-11-21 21:00:00
4913,242763705,1,2025-11-21 21:00:00
4913,288981917,1,2025-11-21 23:00:00
4913,51600318,1,2025-11-21 23:00:00
4913,188711928,1,2025-11-21 23:00:00
4913,343840998,1,2025-11-21 23:00:00
4913,181015549,1,2025-11-21 23:00:00
4913,111611850,1,2025-11-21 23:00:00
4913,119362203,1,2025-11-21 23:00:00
4913,185126108,2,2025-11-21 23:00:00
4913,256911678,1,2025-11-21 23:00:00
4913,53981626,1,2025-11-21 23:00:00
4913,177505671,1,2025-11-21 23:00:00
4913,260348953,1,2025-11-21 23:00:00
4913,250342731,1,2025-11-21 23:00:00
4913,86683011,1,2025-11-21 23:00:00
4913,122165458,1,2025-11-21 23:00:00
4913,323497787,1,2025-11-21 23:00:00
4913,347980172,1,2025-11-21 23:00:00
4913,185126108,1,2025-11-21 23:00:00
4913,18057639,1,2025-11-21 23:00:00
4913,389262570,1,2025-11-22 09:00:00
4913,324778445,1,2025-11-22 09:00:00
4913,281025511,1,2025-11-22 09:00:00
4913,242399578,1,2025-11-22 09:00:00
4913,88398454,1,2025-11-22 09:00:00
4913,101984246,1,2025-11-22 09:00:00
4913,235492212,1,2025-11-22 09:00:00
4913,358697840,1,2025-11-22 13:00:00
4913,141632656,1,2025-11-22 13:00:00
4913,141632656,2,2025-11-22 13:00:00
4913,381552413,1,2025-11-22 13:00:00
4913,202854630,1,2025-11-23 07:00:00
4913,191836691,1,2025-11-23 07:00:00
4913,185126108,1,2025-11-23 07:00:00
4913,141632656,1,2025-11-23 07:00:00
4913,117159325,1,2025-11-23 07:00:00
4913,54623622,1,2025-11-23 07:00:00
4913,108382129,1,2025-11-23 07:00:00
