item_category,view_count,buy_count,conversion_rate
8144,0.0,1.0,inf
11844,0.0,1.0,inf
90,0.0,1.0,inf
1529,1.0,1.0,1.0
12071,1.0,1.0,1.0
7628,1.0,1.0,1.0
5609,1.0,1.0,1.0
11336,1.0,1.0,1.0
1614,1.0,1.0,1.0
258,1.0,1.0,1.0
369,1.0,1.0,1.0
5279,1.0,1.0,1.0
5069,1.0,1.0,1.0
8134,1.0,1.0,1.0
2867,1.0,1.0,1.0
129,1.0,1.0,1.0
4527,1.0,1.0,1.0
11337,1.0,1.0,1.0
8799,1.0,1.0,1.0
1917,1.0,1.0,1.0
101,1.0,1.0,1.0
13175,1.0,1.0,1.0
7912,1.0,1.0,1.0
13758,1.0,1.0,1.0
6668,7.0,6.0,0.8571428571428571
5835,6.0,4.0,0.6666666666666666
11531,13.0,7.0,0.5384615384615384
2949,701.0,355.0,0.5064194008559201
1075,2.0,1.0,0.5
11059,2.0,1.0,0.5
8054,2.0,1.0,0.5
14046,2.0,1.0,0.5
8039,2.0,1.0,0.5
9087,2.0,1.0,0.5
11828,2.0,1.0,0.5
6980,2.0,1.0,0.5
9689,2.0,1.0,0.5
1273,2.0,1.0,0.5
12895,2.0,1.0,0.5
12077,4.0,2.0,0.5
1676,2.0,1.0,0.5
5105,2.0,1.0,0.5
9703,4.0,2.0,0.5
11074,2.0,1.0,0.5
2468,2.0,1.0,0.5
5806,10.0,5.0,0.5
13900,2.0,1.0,0.5
7214,2.0,1.0,0.5
10196,2.0,1.0,0.5
9531,2.0,1.0,0.5
3038,2.0,1.0,0.5
11735,2.0,1.0,0.5
6098,2.0,1.0,0.5
7505,2.0,1.0,0.5
6814,2.0,1.0,0.5
11328,2.0,1.0,0.5
12232,2.0,1.0,0.5
8680,2.0,1.0,0.5
2392,2.0,1.0,0.5
5816,8.0,4.0,0.5
10423,2.0,1.0,0.5
4469,13.0,6.0,0.46153846153846156
577,9.0,4.0,0.4444444444444444
11754,26.0,11.0,0.4230769230769231
13044,5.0,2.0,0.4
5008,5.0,2.0,0.4
6666,10.0,4.0,0.4
1664,8.0,3.0,0.375
8439,47.0,17.0,0.3617021276595745
3565,9.0,3.0,0.3333333333333333
3374,3.0,1.0,0.3333333333333333
13122,6.0,2.0,0.3333333333333333
299,3.0,1.0,0.3333333333333333
3804,6.0,2.0,0.3333333333333333
465,3.0,1.0,0.3333333333333333
3603,3.0,1.0,0.3333333333333333
2978,3.0,1.0,0.3333333333333333
11620,3.0,1.0,0.3333333333333333
9037,3.0,1.0,0.3333333333333333
1186,12.0,4.0,0.3333333333333333
3553,3.0,1.0,0.3333333333333333
2423,9.0,3.0,0.3333333333333333
2325,9.0,3.0,0.3333333333333333
9156,6.0,2.0,0.3333333333333333
2940,6.0,2.0,0.3333333333333333
5126,6.0,2.0,0.3333333333333333
12549,3.0,1.0,0.3333333333333333
10865,3.0,1.0,0.3333333333333333
4299,3.0,1.0,0.3333333333333333
7790,6.0,2.0,0.3333333333333333
7889,42.0,14.0,0.3333333333333333
6394,3.0,1.0,0.3333333333333333
2496,6.0,2.0,0.3333333333333333
1768,3.0,1.0,0.3333333333333333
10220,9.0,3.0,0.3333333333333333
2556,3.0,1.0,0.3333333333333333
9683,3.0,1.0,0.3333333333333333
3094,3.0,1.0,0.3333333333333333
11722,6.0,2.0,0.3333333333333333
12260,3.0,1.0,0.3333333333333333
7284,3.0,1.0,0.3333333333333333
10601,3.0,1.0,0.3333333333333333
8434,3.0,1.0,0.3333333333333333
1389,3.0,1.0,0.3333333333333333
5868,3.0,1.0,0.3333333333333333
7128,3.0,1.0,0.3333333333333333
12405,3.0,1.0,0.3333333333333333
7666,3.0,1.0,0.3333333333333333
9398,3.0,1.0,0.3333333333333333
8245,3.0,1.0,0.3333333333333333
13206,3.0,1.0,0.3333333333333333
1908,6.0,2.0,0.3333333333333333
2472,3.0,1.0,0.3333333333333333
3928,17.0,5.0,0.29411764705882354
9121,7.0,2.0,0.2857142857142857
11006,7.0,2.0,0.2857142857142857
3459,7.0,2.0,0.2857142857142857
7445,7.0,2.0,0.2857142857142857
2240,14.0,4.0,0.2857142857142857
8741,7.0,2.0,0.2857142857142857
1714,11.0,3.0,0.2727272727272727
8518,30.0,8.0,0.26666666666666666
8166,27.0,7.0,0.25925925925925924
12096,55.0,14.0,0.2545454545454545
8643,4.0,1.0,0.25
7126,4.0,1.0,0.25
12064,4.0,1.0,0.25
11511,12.0,3.0,0.25
11591,4.0,1.0,0.25
4324,4.0,1.0,0.25
2519,4.0,1.0,0.25
13020,4.0,1.0,0.25
12473,4.0,1.0,0.25
7814,4.0,1.0,0.25
3043,4.0,1.0,0.25
10755,4.0,1.0,0.25
10438,4.0,1.0,0.25
1343,4.0,1.0,0.25
8589,8.0,2.0,0.25
5322,4.0,1.0,0.25
5404,4.0,1.0,0.25
7913,12.0,3.0,0.25
6352,4.0,1.0,0.25
12225,4.0,1.0,0.25
9851,12.0,3.0,0.25
6193,4.0,1.0,0.25
6329,4.0,1.0,0.25
10321,4.0,1.0,0.25
10960,12.0,3.0,0.25
6696,4.0,1.0,0.25
2320,4.0,1.0,0.25
2938,4.0,1.0,0.25
3826,4.0,1.0,0.25
3842,4.0,1.0,0.25
3556,4.0,1.0,0.25
12792,4.0,1.0,0.25
3664,8.0,2.0,0.25
1497,4.0,1.0,0.25
3221,8.0,2.0,0.25
3061,12.0,3.0,0.25
11604,132.0,33.0,0.25
12589,4.0,1.0,0.25
3037,4.0,1.0,0.25
11280,4.0,1.0,0.25
8115,37.0,9.0,0.24324324324324326
12514,272.0,65.0,0.23897058823529413
1034,21.0,5.0,0.23809523809523808
4016,30.0,7.0,0.23333333333333334
5554,82.0,19.0,0.23170731707317074
12104,13.0,3.0,0.23076923076923078
3610,9.0,2.0,0.2222222222222222
5315,27.0,6.0,0.2222222222222222
5028,27.0,6.0,0.2222222222222222
13888,9.0,2.0,0.2222222222222222
4118,9.0,2.0,0.2222222222222222
2167,18.0,4.0,0.2222222222222222
1419,9.0,2.0,0.2222222222222222
12309,109.0,24.0,0.22018348623853212
1436,32.0,7.0,0.21875
4038,19.0,4.0,0.21052631578947367
2516,19.0,4.0,0.21052631578947367
12363,19.0,4.0,0.21052631578947367
6544,83.0,17.0,0.20481927710843373
1911,321.0,65.0,0.20249221183800623
1220,5.0,1.0,0.2
11659,10.0,2.0,0.2
10723,10.0,2.0,0.2
4868,20.0,4.0,0.2
7589,5.0,1.0,0.2
4200,10.0,2.0,0.2
5710,10.0,2.0,0.2
11613,15.0,3.0,0.2
7493,5.0,1.0,0.2
